station_name,month,avg_level_m,std_dev_m
ব্ৰহ্মপুত্ৰ মাজুলী,1,82.6,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,2,83.38,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,3,83.04,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,4,82.73,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,5,82.64,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,6,85.47,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,7,85.07,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,8,85.15,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,9,84.56,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,10,83.21,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,11,82.92,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,12,83.13,0.8
ব্ৰহ্মপুত্ৰ ধুবুৰী,1,31.93,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,2,32.05,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,3,31.86,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,4,32.34,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,5,32.23,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,6,33.97,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,7,34.18,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,8,34.02,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,9,33.95,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,10,32.5,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,11,31.74,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,12,31.69,0.5
বৰাক শিলচৰ,1,19.04,0.4
বৰাক শিলচৰ,2,19.06,0.4
বৰাক শিলচৰ,3,18.71,0.4
বৰাক শিলচৰ,4,18.69,0.4
বৰাক শিলচৰ,5,19.36,0.4
বৰাক শিলচৰ,6,20.83,0.4
বৰাক শিলচৰ,7,21.47,0.4
বৰাক শিলচৰ,8,21.16,0.4
বৰাক শিলচৰ,9,21.14,0.4
বৰাক শিলচৰ,10,19.41,0.4
বৰাক শিলচৰ,11,18.53,0.4
বৰাক শিলচৰ,12,19.49,0.4
