station_name,month,avg_level_m,std_dev_m
ব্ৰহ্মপুত্ৰ মাজুলী,1,83.24,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,2,82.93,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,3,82.87,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,4,82.9,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,5,83.37,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,6,85.48,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,7,84.59,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,8,84.92,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,9,84.95,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,10,82.54,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,11,82.78,0.8
ব্ৰহ্মপুত্ৰ মাজুলী,12,82.81,0.8
ব্ৰহ্মপুত্ৰ ধুবুৰী,1,32.07,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,2,32.21,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,3,31.7,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,4,32.13,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,5,31.82,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,6,33.53,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,7,34.2,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,8,33.58,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,9,34.37,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,10,31.62,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,11,31.97,0.5
ব্ৰহ্মপুত্ৰ ধুবুৰী,12,32.17,0.5
বৰাক শিলচৰ,1,18.97,0.4
বৰাক শিলচৰ,2,18.87,0.4
বৰাক শিলচৰ,3,19.05,0.4
বৰাক শিলচৰ,4,18.78,0.4
বৰাক শিলচৰ,5,19.09,0.4
বৰাক শিলচৰ,6,20.71,0.4
বৰাক শিলচৰ,7,21.14,0.4
বৰাক শিলচৰ,8,20.67,0.4
বৰাক শিলচৰ,9,21.25,0.4
বৰাক শিলচৰ,10,18.75,0.4
বৰাক শিলচৰ,11,19.21,0.4
বৰাক শিলচৰ,12,18.68,0.4
